,Trek,Cost,Time,Trip Grade,Max_Altitude,Accomodation,Best_Travel_Time,Contact or Book your Trip
128,Everest View Trek,"NPR 2,01,000", 12 Days,Moderate,"3,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
129,Tsum Valley Trek,"NPR 2,01,000", 19 Days,Demanding,"6,000m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
130,The Royal Trek,"NPR 2,01,000", 9 Days,Moderate,"1,730m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
131,Makalu Base Camp Trek,"NPR 2,01,000", 22 Days,Demanding,"4,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
132,"Langtang, Gosainkunda and Helambu Trek","NPR 2,01,000", 17 Days,Moderate,"5,000m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
133,Nar Phu Valley Trek,"NPR 2,01,000", 19 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
134,Annapurna Circle Trek,"NPR 2,01,000", 14 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
135,Everest Kangshung Face Trek,"NPR 2,01,000", 21 Days,Demanding,"5,320m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
136,Tsum Valley and Manaslu Trek,"NPR 2,01,000", 27 Days,Demanding,"4,460m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
137,Khopra Ridge Community Trek,"NPR 2,01,000", 13 Days,Demanding,"4,500m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
138,Nepal Experience Tour,"NPR 2,01,000", 12 Days,Easy,"3,210m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
139,Annapurna Circuit Trek with Tilicho Lake and Poon Hill,"NPR 2,01,000", 20 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
140,Annapurna With Tilicho Lake Trek,"NPR 2,01,000", 17 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
141,Langtang Valley Trek with Ganja la Pass,"NPR 2,01,000", 14 Days,Demanding,"5,122m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
142,Tamang Heritage Trek,"NPR 2,01,000", 14 Days,Moderate,"3,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
143,Manaslu and Annapurna Trek with Tilicho Lake,"NPR 2,01,000", 25 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
144,Nepal Trekking and Everest Himalaya Heli Tour,"NPR 2,01,000", 7 Days,Moderate,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
145,Nepal Hiking and Culture Tour,"NPR 2,01,000", 8 Days,Moderate,"1,550m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
146,Annapurna Sunrise and Everest View Trek,"NPR 2,01,000", 17 Days,Moderate,"3,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
147,Tenzing Hillary Everest Marathon,"NPR 2,01,000", 20 Days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
148,Everest Base Camp Trek,"NPR 1,94,300",16 Days,Hard,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
149,Everest Kalapathar Trekking,"NPR 1,86,260",15 Days,Hard,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
150,Everest Panorama Trek,"NPR 1,39,360",10 Days,Easy,"3,860m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
151,Everest Base Camp Trek via Gokyo Lake,"NPR 2,05,020",19 Days,Easy,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
152,Gokyo Lake Trek,"NPR 1,39,500",13 Days,Moderate,"5,357m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
153,Everest Base Camp Heli Trek,"NPR 4,82,400",9 Days,Moderate,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
154,Annapurna Circuit Trek,"NPR 1,47,400",19 Days,Hard,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
155,Annapurna Base Camp Trek,"NPR 1,46,060",16 Days,Moderate,"4,130m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
156,Ghorepani Poon Hill Trek,"NPR 60,300",10 Days,Easy,"3,210m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
157,Upper Mustang Trek,"NPR 2,30,000",17 Days,Hard,4200m,Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
158,Mardi Himal Trek,"NPR 80,000",9 Days,Easy,"4,500m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
159,Langtang Valley Trekking," NPR 1,00,500",11 Days,Moderate,"4,773m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
160,Manaslu Circuit Trek,"NPR 1,47,000",17 Days,Hard,"5,220m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
161,Annapurna Base Camp Trek,"NPR 1,34,000", 14 Days,Moderate,4210 m,Hotel/Guesthouse,March - May & Sept - Dec,https://www.nepalhikingteam.com
162,Annapurna Base Camp Short Trek,"NPR 1,34,000", 11 Days,Easy,4210 m,Hotel/Teahouses,March - May & Sept - Dec,https://www.nepalhikingteam.com
163,Instant Annapurna Base Camp Trek,"NPR 1,14,000", 9 Days,Moderate,4230 m,Hotel/Guest Houses,March - May & Sept - Dec.,https://www.nepalhikingteam.com
164,Annapurna Base Camp Heli Trek,"NPR 2,34,500", 9 Days,Easy,4210 m,Hotel/Teahouses,March - May & Sept - Dec,https://www.nepalhikingteam.com
165,Mardi Himal Trek,"NPR 1,13,900", 9 Days,Easy,4200 m,Hotel/Guesthouses,March - May & Sept - Dec,https://www.nepalhikingteam.com
166,Mardi Himal Trekking,"NPR 1,13,900", 8 Days,Easy,"4,200 m",Hotel/Guesthouse,March-May & Sept-Dec.,https://www.nepalhikingteam.com
167,Classic Annapurna Circuit Trek,"NPR 1,80,900", 18 Days,Moderate,5416 m,Hotel/Teahouses,March - May & Sept - Nov,https://www.nepalhikingteam.com
168,Annapurna Circuit Trek,"NPR 1,67,500", 14 Days,Moderate,5416 m,Hotel/Teahouses,March-May & Sept-Dec,https://www.nepalhikingteam.com
169,Annapurna Circuit Short Trek,"NPR 1,67,500", 12 Days,Hard,5416 m,Hotel/Guesthouse,March - May & Sept - Nov.,https://www.nepalhikingteam.com
170,Annapurna Luxury Trek,"NPR 1,94,300", 9 Days,Easy,2012m,Hotel/Luxury Lodges,March - May & Setpt - Dec,https://www.nepalhikingteam.com
171,Annapurna Panorama Trek,"NPR 1,12,500", 9 Days,Easy,3210 m,Hotel/Teahouse,Jan - May & Sept - Dec,https://www.nepalhikingteam.com
172,Annapurna Tilicho Lake Trek,"NPR 1,94,500", 17 Days,Hard,5416 m,Hotel/Guesthouse,March - May & Sept - Nov,https://www.nepalhikingteam.com
173,Short Annapurna Trek,"NPR 79,090", 5 Days,Easy,1990 m,Hotel/Lodges,Jan- May & Sept - Dec,https://www.nepalhikingteam.com
174,Manaslu Circuit Trek,"NPR 1,94,500", 15 Days,Hard,5106 m,Hotel/Guesthouse,March - May & Sept - Nov,https://www.nepalhikingteam.com
175,Manaslu Circuit Trekking,"NPR 1,84,920", 14 Days,Moderate,5220 m,Hotel/Teahouses,March - May & Setpt - Nov,https://www.nepalhikingteam.com
176,Tsum Valley with Manaslu Trek,"NPR 2,47,900", 20 Days,Hard,5220 m,Hotel/Guesthouse,March - May & Sept - Nov,https://www.nepalhikingteam.com
177,Upper Mustang Trek,"NPR 2,88,100", 17 Days,Moderate,4210 m,Hotel/Guesthouse,March - May & Sept - Nov.,https://www.nepalhikingteam.com
178,Upper Mustang Trek with Yara,"NPR 3,08,200", 18 Days,Moderate,4200 m,Hotel/Lodges,March - Nov,https://www.nepalhikingteam.com
179,Upper Mustang Tiji Festival Trek,"NPR 2,88,100", 18 Days,Moderate,4210 m,Hotel/Teahouses,March - May & Sept - Nov,https://www.nepalhikingteam.com
180,Langtang Valley Trek,"NPR 1,00,500", 10 Days,Easy,5050 m,Hotel/Teahouse,March-May & Sept-Dec,https://www.nepalhikingteam.com
181,Langtang Gosaikunda Trek,"NPR 1,58,120", 16 Days,Easy,4600m,Hotel/Guesthouse,March - May & Sept - Dec,https://www.nepalhikingteam.com
182,Tamang Heritage Trek,"NPR 1,23,280", 14 Days,Moderate,5050 m,Hotel/Guesthouse,March - May & Sept - Dec,https://www.nepalhikingteam.com
183,Tamang Heritage Trail,"NPR 1,00,500", 8 Days,Easy,2607 m,Teahouses/Lodges,Jan - May & Sept - Dec,https://www.nepalhikingteam.com
184,Helambu Trek,"NPR 1,04,520", 9 Days,Easy,3650 m,Hotel/Guesthouse,Jan - May & Sept- Dec,https://www.nepalhikingteam.com
185,Annapurna Base Camp Trek,"NPR 2,01,000", 11 Days,Moderate,"4,130m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
186,Everest Base Camp Trek for Youths,"NPR 2,34,500", 14 Days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
187,Everest Base Camp Short Trek,"NPR 2,01,000", 14 Days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
188,Everest Base Camp Trek,"NPR 2,01,000", 16 Days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
189,Annapurna Circuit Trek,"NPR 2,01,000", 17 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
190,Everest Base Camp Luxury Lodge Trek,"NPR 2,01,000", 15 Days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
191,Everest Base Camp Trek via Gokyo Lakes and Cho La Pass,"NPR 2,01,000", 18 days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
192,Upper Mustang Trek,"NPR 2,01,000", 17 Days,Demanding,"3,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
193,Everest Advanced Base Camp Trek from Tibet,"NPR 2,01,000", 18 Days,Demanding,"6,340m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
194,Gokyo Lakes and Gokyo Ri Trek,"NPR 2,01,000", 14 Days,Moderate,"5,357m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
195,Mardi Himal Trek,"NPR 2,01,000", 10 Days,Moderate,"3,540m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
196,Manaslu Circuit Trek,"NPR 2,01,000", 18 Days,Demanding,"5,160m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
197,Langtang Valley Trek,"NPR 2,01,000", 11 Days,Moderate,"5,000m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
198,Annapurna Sanctuary Trek,"NPR 2,01,000", 14 Days,Moderate,"4,130m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
199,Rara Lake Trek,"NPR 2,01,000", 15 Days,Moderate,"3,055m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
200,Everest High Passes Trek,"NPR 2,01,000", 20 Days,Demanding,"5,546m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
201,Kanchenjunga Circuit Trek,"NPR 2,01,000", 25 Days,Demanding,"5,143m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
202,Everest View Trek,"NPR 2,01,000", 12 Days,Moderate,"3,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
203,Tsum Valley Trek,"NPR 2,01,000", 19 Days,Demanding,"6,000m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
204,The Royal Trek,"NPR 2,01,000", 9 Days,Moderate,"1,730m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
205,Makalu Base Camp Trek,"NPR 2,01,000", 22 Days,Demanding,"4,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
206,"Langtang, Gosainkunda and Helambu Trek","NPR 2,01,000", 17 Days,Moderate,"5,000m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
207,Nar Phu Valley Trek,"NPR 2,01,000", 19 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
208,Annapurna Circle Trek,"NPR 2,01,000", 14 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
209,Everest Kangshung Face Trek,"NPR 2,01,000", 21 Days,Demanding,"5,320m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
210,Tsum Valley and Manaslu Trek,"NPR 2,01,000", 27 Days,Demanding,"4,460m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
211,Khopra Ridge Community Trek,"NPR 2,01,000", 13 Days,Moderate,"4,500m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
212,Nepal Experience Tour,"NPR 2,01,000", 12 Days,Easy,"3,210m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
213,Annapurna Circuit Trek with Tilicho Lake and Poon Hill,"NPR 2,01,000", 20 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
214,Annapurna With Tilicho Lake Trek,"NPR 2,01,000", 17 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
215,Langtang Valley Trek with Ganja la Pass,"NPR 2,01,000", 14 Days,Demanding,"5,122m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
216,Tamang Heritage Trek,"NPR 2,01,000", 14 Days,Moderate,"3,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
217,Manaslu and Annapurna Trek with Tilicho Lake,"NPR 2,01,000", 25 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
218,Nepal Trekking and Everest Himalaya Heli Tour,"NPR 2,01,000", 7 Days,Moderate,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
219,Nepal Hiking and Culture Tour,"NPR 2,01,000", 8 Days,Moderate,"1,550m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
220,Annapurna Sunrise and Everest View Trek,"NPR 2,01,000", 17 Days,Moderate,"3,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
221,Tenzing Hillary Everest Marathon,"NPR 2,01,000", 20 Days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
222,Everest Base Camp Trek,"NPR 1,94,300",16 Days,Hard,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
223,Everest Kalapathar Trekking,"NPR 1,86,260",15 Days,Hard,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
224,Everest Panorama Trek,"NPR 1,39,360",10 Days,Easy,"3,860m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
225,Everest Base Camp Trek via Gokyo Lake,"NPR 2,05,020",19 Days,Hard,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
226,Gokyo Lake Trek,"NPR 1,59,460",13 Days,Moderate,"5,357m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
227,Everest Base Camp Heli Trek,"NPR 4,82,400",9 Days,Moderate,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
228,Annapurna Circuit Trek,"NPR 1,47,400",19 Days,Hard,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
229,Annapurna Base Camp Trek,"NPR 1,46,000",16 Days,Moderate,"4,130m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
230,Ghorepani Poon Hill Trek,"NPR 61,700",10 Days,Hard,"3,210m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
231,Upper Mustang Trek,"NPR 2,81,500",17 Days,Hard,4200m,Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
232,Mardi Himal Trek,"NPR 80,000",9 Days,Easy,"4,500m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
233,Langtang Valley Trekking,"NPR 92,460",11 Days,Moderate,"4,773m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
234,Manaslu Circuit Trek,"NPR 1,59,500",17 Days,Hard,"5,220m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
235,Annapurna Base Camp Trek,"NPR 1,46,000", 14 Days,Moderate,4210 m,Hotel/Guesthouse,March - May & Sept - Dec,https://www.nepalhikingteam.com
236,Annapurna Base Camp Short Trek,"NPR 1,46,000", 11 Days,Easy,4210 m,Hotel/Teahouses,March - May & Sept - Dec,https://www.nepalhikingteam.com
237,Instant Annapurna Base Camp Trek,"NPR 1,31,320", 9 Days,Moderate,4230 m,Hotel/Guest Houses,March - May & Sept - Dec.,https://www.nepalhikingteam.com
238,Annapurna Base Camp Heli Trek,"NPR 2,34,500", 9 Days,Easy,4210 m,Hotel/Teahouses,March - May & Sept - Dec,https://www.nepalhikingteam.com
239,Mardi Himal Trek,"NPR 1,13,900", 9 Days,Easy,4200 m,Hotel/Guesthouses,March - May & Sept - Dec,https://www.nepalhikingteam.com
240,Mardi Himal Trekking,"NPR 1,13,900", 8 Days,Easy,"4,200 m",Hotel/Guesthouse,March-May & Sept-Dec.,https://www.nepalhikingteam.com
241,Classic Annapurna Circuit Trek,"NPR 1,80,900", 18 Days,Moderate,5416 m,Hotel/Teahouses,March - May & Sept - Nov,https://www.nepalhikingteam.com
242,Annapurna Circuit Trek,"NPR 1,67,500", 14 Days,Moderate,5416 m,Hotel/Teahouses,March-May & Sept-Dec,https://www.nepalhikingteam.com
243,Annapurna Circuit Short Trek,"NPR 1,67,500", 12 Days,Hard,5416 m,Hotel/Guesthouse,March - May & Sept - Nov.,https://www.nepalhikingteam.com
244,Annapurna Luxury Trek,"NPR 1,94,300", 9 Days,Easy,2012m,Hotel/Luxury Lodges,March - May & Setpt - Dec,https://www.nepalhikingteam.com
245,Annapurna Panorama Trek,"NPR 1,15,240", 9 Days,Easy,3210 m,Hotel/Teahouse,Jan - May & Sept - Dec,https://www.nepalhikingteam.com
246,Annapurna Tilicho Lake Trek,"NPR 1,94,300", 17 Days,Hard,5416 m,Hotel/Guesthouse,March - May & Sept - Nov,https://www.nepalhikingteam.com
247,Short Annapurna Trek,"NPR 80,000", 5 Days,Easy,1990 m,Hotel/Lodges,Jan- May & Sept - Dec,https://www.nepalhikingteam.com
248,Manaslu Circuit Trek,"NPR 1,94,300", 15 Days,Hard,5106 m,Hotel/Guesthouse,March - May & Sept - Nov,https://www.nepalhikingteam.com
249,Manaslu Circuit Trekking,"NPR 1,84,920", 14 Days,Moderate,5220 m,Hotel/Teahouses,March - May & Setpt - Nov,https://www.nepalhikingteam.com
250,Tsum Valley with Manaslu Trek,"NPR 2,47,900", 20 Days,Hard,5220 m,Hotel/Guesthouse,March - May & Sept - Nov,https://www.nepalhikingteam.com
251,Upper Mustang Trek,"NPR 2,88,100", 17 Days,Moderate,4210 m,Hotel/Guesthouse,March - May & Sept - Nov.,https://www.nepalhikingteam.com
252,Upper Mustang Trek with Yara,"NPR 3,08,200", 18 Days,Moderate,4200 m,Hotel/Lodges,March - Nov,https://www.nepalhikingteam.com
253,Upper Mustang Tiji Festival Trek,"NPR 2,88,100", 18 Days,Moderate,4210 m,Hotel/Teahouses,March - May & Sept - Nov,https://www.nepalhikingteam.com
254,Langtang Valley Trek,"NPR 1,00,500", 10 Days,Easy,5050 m,Hotel/Teahouse,March-May & Sept-Dec,https://www.nepalhikingteam.com
